epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.240632,1.10561,2.63944,1.42649,0.60813,0.89041,0.88774,0.616,1.40802,1.31368,1.26242,0,0,0
2,0.538668,0.92869,2.92672,1.2729,0.55703,0.83333,0.87182,0.61936,1.39552,1.32727,1.2545,1.17822e-06,1.17822e-06,1.17822e-06
3,0.824534,1.04722,3.0281,1.42622,0.57789,0.83333,0.87213,0.61839,1.43276,1.34632,1.26758,2.33288e-06,2.33288e-06,2.33288e-06
4,1.12343,1.43071,2.57303,1.73645,0.54062,0.83333,0.87209,0.61184,1.43628,1.3804,1.26831,3.46397e-06,3.46397e-06,3.46397e-06
5,1.46568,1.29148,2.50104,1.71099,0.56532,0.83333,0.8719,0.61006,1.45073,1.40486,1.27687,4.5715e-06,4.5715e-06,4.5715e-06
6,1.8775,1.03469,2.50348,1.37604,0.60332,0.83333,0.88467,0.59468,1.46898,1.46571,1.29064,5.65548e-06,5.65548e-06,5.65548e-06
7,2.30075,1.19095,2.46723,1.48276,0.66897,0.75,0.88589,0.57851,1.48502,1.49962,1.29772,6.71588e-06,6.71588e-06,6.71588e-06
8,2.69161,1.09749,3.04436,1.36725,0.81295,0.5791,0.88269,0.57339,1.51977,1.56136,1.32216,7.75273e-06,7.75273e-06,7.75273e-06
9,3.08327,1.1169,2.73605,1.36819,0.79398,0.58333,0.8826,0.54615,1.53841,1.62256,1.3381,8.76602e-06,8.76602e-06,8.76602e-06
10,3.48798,0.96897,1.82158,1.31504,0.78757,0.58333,0.88133,0.54747,1.56071,1.65043,1.34908,9.75574e-06,9.75574e-06,9.75574e-06
11,3.87759,0.7525,2.1985,1.26294,0.78034,0.58333,0.77673,0.53696,1.56745,1.71462,1.36169,1.07219e-05,1.07219e-05,1.07219e-05
12,4.28633,1.03822,2.25136,1.45685,0.76465,0.58333,0.74189,0.52408,1.5516,1.73855,1.36104,1.16645e-05,1.16645e-05,1.16645e-05
13,4.69047,0.92498,2.83166,1.3354,0.74811,0.58333,0.74196,0.5241,1.556,1.76127,1.36045,1.25835e-05,1.25835e-05,1.25835e-05
14,5.09313,0.95387,2.3815,1.32014,0.69552,0.58333,0.74165,0.57177,1.54185,1.77759,1.35467,1.3479e-05,1.3479e-05,1.3479e-05
15,5.48183,0.99081,2.28879,1.34633,0.71933,0.58333,0.74192,0.57467,1.51827,1.77924,1.34609,1.43509e-05,1.43509e-05,1.43509e-05
16,5.90293,0.82514,2.34462,1.34124,0.93516,0.38333,0.74199,0.55808,1.51961,1.78693,1.34959,1.51993e-05,1.51993e-05,1.51993e-05
17,6.33166,1.23241,2.45003,1.63648,0.93644,0.38333,0.65879,0.50026,1.50786,1.82806,1.35526,1.60241e-05,1.60241e-05,1.60241e-05
18,6.68206,0.92553,1.78552,1.35969,0.93644,0.38333,0.65879,0.50026,1.50786,1.82806,1.35526,1.68253e-05,1.68253e-05,1.68253e-05
19,7.10939,1.11259,2.36329,1.36599,0.93747,0.38333,0.66061,0.46255,1.52254,1.89205,1.35489,1.7603e-05,1.7603e-05,1.7603e-05
20,7.49559,0.88023,1.51823,1.14062,0.93747,0.38333,0.66061,0.46255,1.52254,1.89205,1.35489,1.83571e-05,1.83571e-05,1.83571e-05
21,7.88709,1.05044,2.29172,1.45457,0.93784,0.38333,0.59166,0.45592,1.55675,1.97071,1.37748,1.90876e-05,1.90876e-05,1.90876e-05
22,8.27026,1.06172,2.78261,1.52279,0.93784,0.38333,0.59166,0.45592,1.55675,1.97071,1.37748,1.97946e-05,1.97946e-05,1.97946e-05
