epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,13.474,0.99327,1.49006,1.42868,0.93234,0.38333,0.45454,0.3286,1.75403,2.39945,1.52271,2.82082e-05,2.82082e-05,2.82082e-05
40,13.7982,0.88782,1.54858,1.33999,0.93234,0.38333,0.45454,0.3286,1.75403,2.39945,1.52271,2.84911e-05,2.84911e-05,2.84911e-05
41,14.1716,0.81981,1.47797,1.16154,0.92911,0.38333,0.41309,0.28724,1.74702,2.39203,1.52804,2.87504e-05,2.87504e-05,2.87504e-05
42,14.5254,0.72482,1.80057,1.3534,0.92911,0.38333,0.41309,0.28724,1.74702,2.39203,1.52804,2.89861e-05,2.89861e-05,2.89861e-05
43,14.91,1.24356,2.41897,1.59643,0.9297,0.38333,0.41835,0.28943,1.75581,2.36602,1.53511,2.91983e-05,2.91983e-05,2.91983e-05
44,15.2599,0.65736,0.86181,1.23327,0.9297,0.38333,0.41835,0.28943,1.75581,2.36602,1.53511,2.93869e-05,2.93869e-05,2.93869e-05
45,15.657,0.89734,1.39308,1.24417,0.92391,0.38333,0.42058,0.29048,1.7725,2.4219,1.54903,2.9552e-05,2.9552e-05,2.9552e-05
46,15.9783,0.76638,1.29667,1.27617,0.92391,0.38333,0.42058,0.29048,1.7725,2.4219,1.54903,2.96935e-05,2.96935e-05,2.96935e-05
47,16.3711,0.7701,1.06214,1.12998,0.91898,0.38333,0.4217,0.3274,1.74709,2.40706,1.53227,2.98114e-05,2.98114e-05,2.98114e-05
48,16.7144,0.72309,1.42532,1.16867,0.91898,0.38333,0.4217,0.3274,1.74709,2.40706,1.53227,2.99058e-05,2.99058e-05,2.99058e-05
49,17.0909,0.94696,2.04788,1.35698,0.92006,0.38333,0.41825,0.30902,1.74313,2.42674,1.53769,2.99766e-05,2.99766e-05,2.99766e-05
50,17.4197,0.50006,0.6198,1.17736,0.92006,0.38333,0.41825,0.30902,1.74313,2.42674,1.53769,3.00238e-05,3.00238e-05,3.00238e-05
51,17.7864,0.71098,0.85008,1.07722,0.91706,0.38333,0.41802,0.303,1.75837,2.42353,1.55262,3.00475e-05,3.00475e-05,3.00475e-05
52,18.1136,0.7448,0.88261,1.13503,0.91706,0.38333,0.41802,0.303,1.75837,2.42353,1.55262,3.00476e-05,3.00476e-05,3.00476e-05
53,18.4474,0.78604,1.06621,1.12614,0.91706,0.38333,0.41802,0.303,1.75837,2.42353,1.55262,3.00242e-05,3.00242e-05,3.00242e-05
54,18.8141,0.65587,0.68715,1.26205,0.92595,0.38675,0.42219,0.30505,1.75522,2.41958,1.5443,2.99772e-05,2.99772e-05,2.99772e-05
55,19.1393,0.80092,0.89206,1.11848,0.92595,0.38675,0.42219,0.30505,1.75522,2.41958,1.5443,2.99066e-05,2.99066e-05,2.99066e-05
56,19.4692,0.93981,1.12743,1.2308,0.92595,0.38675,0.42219,0.30505,1.75522,2.41958,1.5443,2.98125e-05,2.98125e-05,2.98125e-05
57,19.8419,0.53398,0.81862,0.95602,0.92149,0.38701,0.42145,0.29644,1.7651,2.45219,1.5237,2.96948e-05,2.96948e-05,2.96948e-05
58,20.1938,0.74603,0.79361,1.19046,0.92149,0.38701,0.42145,0.29644,1.7651,2.45219,1.5237,2.95535e-05,2.95535e-05,2.95535e-05
59,20.5172,0.50567,0.63899,1.08341,0.92149,0.38701,0.42145,0.29644,1.7651,2.45219,1.5237,2.93887e-05,2.93887e-05,2.93887e-05
60,20.8753,0.82608,1.13723,1.25006,0.91867,0.38333,0.4184,0.29369,1.75747,2.47631,1.51821,2.92003e-05,2.92003e-05,2.92003e-05
61,21.2013,0.70814,0.70364,1.19863,0.91867,0.38333,0.4184,0.29369,1.75747,2.47631,1.51821,2.89884e-05,2.89884e-05,2.89884e-05
62,21.5306,1.12792,1.36992,1.41954,0.91867,0.38333,0.4184,0.29369,1.75747,2.47631,1.51821,2.87529e-05,2.87529e-05,2.87529e-05
63,21.8976,0.9069,1.48986,1.36144,0.92206,0.38773,0.42083,0.29547,1.713,2.3181,1.44737,2.84938e-05,2.84938e-05,2.84938e-05
64,22.223,0.78184,1.0292,1.18392,0.92206,0.38773,0.42083,0.29547,1.713,2.3181,1.44737,2.82112e-05,2.82112e-05,2.82112e-05
65,22.5503,0.80365,1.29853,1.22629,0.92206,0.38773,0.42083,0.29547,1.713,2.3181,1.44737,2.7905e-05,2.7905e-05,2.7905e-05
66,22.9129,0.65841,0.67471,1.09812,0.91835,0.38874,0.42475,0.29463,1.74785,2.28934,1.47025,2.75753e-05,2.75753e-05,2.75753e-05
67,23.2358,0.62654,0.57607,1.00612,0.91835,0.38874,0.42475,0.29463,1.74785,2.28934,1.47025,2.7222e-05,2.7222e-05,2.7222e-05
68,23.5571,0.78944,0.91081,1.19224,0.91835,0.38874,0.42475,0.29463,1.74785,2.28934,1.47025,2.68451e-05,2.68451e-05,2.68451e-05
