epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,15.1369,1.00928,1.50581,1.44093,0.93054,0.38333,0.45484,0.32871,1.76286,2.40298,1.53528,2.82082e-05,2.82082e-05,2.82082e-05
40,15.53,0.89878,1.55783,1.34383,0.93054,0.38333,0.45484,0.32871,1.76286,2.40298,1.53528,2.84911e-05,2.84911e-05,2.84911e-05
41,15.937,0.8227,1.48026,1.16294,0.92623,0.38333,0.41325,0.2874,1.7531,2.39866,1.53747,2.87504e-05,2.87504e-05,2.87504e-05
42,16.3078,0.70781,1.77585,1.3469,0.92623,0.38333,0.41325,0.2874,1.7531,2.39866,1.53747,2.89861e-05,2.89861e-05,2.89861e-05
43,16.6915,1.24828,2.41197,1.59859,0.9288,0.38333,0.41837,0.28963,1.74755,2.37414,1.53125,2.91983e-05,2.91983e-05,2.91983e-05
44,17.0338,0.64509,0.84932,1.22535,0.9288,0.38333,0.41837,0.28963,1.74755,2.37414,1.53125,2.93869e-05,2.93869e-05,2.93869e-05
45,17.4239,0.88814,1.37937,1.23263,0.92208,0.38333,0.41824,0.29152,1.78266,2.43344,1.56166,2.9552e-05,2.9552e-05,2.9552e-05
46,17.7986,0.79439,1.27838,1.30046,0.92208,0.38333,0.41824,0.29152,1.78266,2.43344,1.56166,2.96935e-05,2.96935e-05,2.96935e-05
47,18.1965,0.77993,1.05328,1.13505,0.91671,0.38333,0.41923,0.32316,1.75954,2.41068,1.53621,2.98114e-05,2.98114e-05,2.98114e-05
48,18.5611,0.71624,1.4176,1.16616,0.91671,0.38333,0.41923,0.32316,1.75954,2.41068,1.53621,2.99058e-05,2.99058e-05,2.99058e-05
49,18.9634,0.95512,2.07806,1.36567,0.91783,0.38333,0.41871,0.30967,1.76122,2.41739,1.54811,2.99766e-05,2.99766e-05,2.99766e-05
50,19.3686,0.49859,0.61477,1.17718,0.91783,0.38333,0.41871,0.30967,1.76122,2.41739,1.54811,3.00238e-05,3.00238e-05,3.00238e-05
51,19.7597,0.70163,0.84331,1.07117,0.91569,0.38333,0.41909,0.30343,1.7598,2.40834,1.53673,3.00475e-05,3.00475e-05,3.00475e-05
52,20.1236,0.7295,0.87544,1.12303,0.91569,0.38333,0.41909,0.30343,1.7598,2.40834,1.53673,3.00476e-05,3.00476e-05,3.00476e-05
53,20.4952,0.78607,1.06594,1.12338,0.91569,0.38333,0.41909,0.30343,1.7598,2.40834,1.53673,3.00242e-05,3.00242e-05,3.00242e-05
54,20.9179,0.65812,0.68551,1.26164,0.91983,0.38333,0.41947,0.3034,1.75313,2.40653,1.5314,2.99772e-05,2.99772e-05,2.99772e-05
55,21.2763,0.80073,0.89972,1.1196,0.91983,0.38333,0.41947,0.3034,1.75313,2.40653,1.5314,2.99066e-05,2.99066e-05,2.99066e-05
56,21.6287,0.93478,1.11558,1.22732,0.91983,0.38333,0.41947,0.3034,1.75313,2.40653,1.5314,2.98125e-05,2.98125e-05,2.98125e-05
57,22.0324,0.53079,0.80331,0.95102,0.91478,0.38333,0.41887,0.29389,1.77794,2.50504,1.55196,2.96948e-05,2.96948e-05,2.96948e-05
58,22.3943,0.73959,0.79749,1.19239,0.91478,0.38333,0.41887,0.29389,1.77794,2.50504,1.55196,2.95535e-05,2.95535e-05,2.95535e-05
59,22.7468,0.5047,0.64089,1.08284,0.91478,0.38333,0.41887,0.29389,1.77794,2.50504,1.55196,2.93887e-05,2.93887e-05,2.93887e-05
60,23.168,0.81587,1.14512,1.2493,0.91499,0.38333,0.41956,0.29474,1.78494,2.52677,1.55527,2.92003e-05,2.92003e-05,2.92003e-05
61,23.5251,0.69892,0.70533,1.18715,0.91499,0.38333,0.41956,0.29474,1.78494,2.52677,1.55527,2.89884e-05,2.89884e-05,2.89884e-05
62,23.9077,1.11993,1.36579,1.41582,0.91499,0.38333,0.41956,0.29474,1.78494,2.52677,1.55527,2.87529e-05,2.87529e-05,2.87529e-05
63,24.3046,0.90661,1.49882,1.36171,0.92044,0.38752,0.42228,0.29596,1.70954,2.31298,1.44328,2.84938e-05,2.84938e-05,2.84938e-05
64,24.6689,0.78257,1.03514,1.18286,0.92044,0.38752,0.42228,0.29596,1.70954,2.31298,1.44328,2.82112e-05,2.82112e-05,2.82112e-05
65,25.0472,0.81158,1.29861,1.22746,0.92044,0.38752,0.42228,0.29596,1.70954,2.31298,1.44328,2.7905e-05,2.7905e-05,2.7905e-05
